member_name,member_id,gateway_id,device_address,collected_date,collected_time,onoff,energy,energy_diff,
별채,testbed_03,ep1827-tdhfmvvc-0486,000D6F0012575F60,20190326,1143,1,0.621372,,0
별채,testbed_03,ep1827-tdhfmvvc-0486,000D6F0012575F60,20190326,1144,1,0.621372,,0
별채,testbed_03,ep1827-tdhfmvvc-0486,000D6F0012575F60,20190326,1145,1,0.621388,1.6E-05,0
별채,testbed_03,ep1827-tdhfmvvc-0486,000D6F0012575F60,20190326,1146,1,0.621404,1.6E-05,0
별채,testbed_03,ep1827-tdhfmvvc-0486,000D6F0012575F60,20190326,1147,1,0.62142,1.6E-05,0
별채,testbed_03,ep1827-tdhfmvvc-0486,000D6F0012575F60,20190326,1148,1,0.621436,1.6E-05,0
별채,testbed_03,ep1827-tdhfmvvc-0486,000D6F0012575F60,20190326,1149,1,0.621452,1.6E-05,0
별채,testbed_03,ep1827-tdhfmvvc-0486,000D6F0012575F60,20190326,1150,1,0.621468,1.6E-05,0
별채,testbed_03,ep1827-tdhfmvvc-0486,000D6F0012575F60,20190326,1151,1,0.621484,1.6E-05,0
별채,testbed_03,ep1827-tdhfmvvc-0486,000D6F0012575F60,20190326,1152,1,0.6215,1.6E-05,0
별채,testbed_03,ep1827-tdhfmvvc-0486,000D6F0012575F60,20190326,1153,1,0.621516,1.6E-05,0
별채,testbed_03,ep1827-tdhfmvvc-0486,000D6F0012575F60,20190326,1154,1,0.621532,1.6E-05,0
별채,testbed_03,ep1827-tdhfmvvc-0486,000D6F0012575F60,20190326,1155,1,0.621548,1.6E-05,0
별채,testbed_03,ep1827-tdhfmvvc-0486,000D6F0012575F60,20190326,1156,1,0.621564,1.6E-05,0
별채,testbed_03,ep1827-tdhfmvvc-0486,000D6F0012575F60,20190326,1157,1,0.62158,1.6E-05,0
별채,testbed_03,ep1827-tdhfmvvc-0486,000D6F0012575F60,20190326,1158,1,0.621596,1.6E-05,0
별채,testbed_03,ep1827-tdhfmvvc-0486,000D6F0012575F60,20190326,1159,1,0.621612,1.6E-05,0
별채,testbed_03,ep1827-tdhfmvvc-0486,000D6F0012575F60,20190326,1200,1,0.621612,,0
별채,testbed_03,ep1827-tdhfmvvc-0486,000D6F0012575F60,20190326,1201,1,0.621628,1.6E-05,0
별채,testbed_03,ep1827-tdhfmvvc-0486,000D6F0012575F60,20190326,1202,1,0.621644,1.6E-05,0
별채,testbed_03,ep1827-tdhfmvvc-0486,000D6F0012575F60,20190326,1203,1,0.62166,1.6E-05,0
별채,testbed_03,ep1827-tdhfmvvc-0486,000D6F0012575F60,20190326,1204,1,0.621676,1.6E-05,0
별채,testbed_03,ep1827-tdhfmvvc-0486,000D6F0012575F60,20190326,1205,1,0.621692,1.6E-05,0
별채,testbed_03,ep1827-tdhfmvvc-0486,000D6F0012575F60,20190326,1206,1,0.621708,1.6E-05,0
별채,testbed_03,ep1827-tdhfmvvc-0486,000D6F0012575F60,20190326,1207,1,0.621724,1.6E-05,0
별채,testbed_03,ep1827-tdhfmvvc-0486,000D6F0012575F60,20190326,1208,1,0.62174,1.6E-05,0
별채,testbed_03,ep1827-tdhfmvvc-0486,000D6F0012575F60,20190326,1209,1,0.621756,1.6E-05,0
별채,testbed_03,ep1827-tdhfmvvc-0486,000D6F0012575F60,20190326,1210,1,0.621772,1.6E-05,0
